run,ar_order,ma_order,volatility_type,loss
1,1,1,volatile,0.011632314883172512
2,1,1,volatile,0.008106745779514313
3,1,1,volatile,0.01141920406371355
4,1,1,volatile,0.014000890776515007
5,1,1,volatile,0.008936402387917042
1,1,2,volatile,0.008063043467700481
2,1,2,volatile,0.006999718025326729
3,1,2,volatile,0.008418946526944637
4,1,2,volatile,0.02632906660437584
5,1,2,volatile,0.006202682387083769
1,1,3,volatile,0.006243452429771423
2,1,3,volatile,0.007183328736573458
3,1,3,volatile,0.016907470300793648
4,1,3,volatile,0.007885852828621864
5,1,3,volatile,0.003707574913278222
1,2,1,volatile,0.01926003210246563
2,2,1,volatile,0.013522638939321041
3,2,1,volatile,0.017080869525671005
4,2,1,volatile,0.012517377734184265
5,2,1,volatile,0.006922350265085697
1,2,2,volatile,0.012113077566027641
2,2,2,volatile,0.0057829804718494415
3,2,2,volatile,0.01304144412279129
4,2,2,volatile,0.013889726251363754
5,2,2,volatile,0.010527929291129112
1,2,3,volatile,0.004297034814953804
2,2,3,volatile,0.007894666865468025
3,2,3,volatile,0.007545063737779856
4,2,3,volatile,0.005125151015818119
5,2,3,volatile,0.014916477724909782
1,3,1,volatile,0.006488326005637646
2,3,1,volatile,0.007571276742964983
3,3,1,volatile,0.011485778726637363
4,3,1,volatile,0.006615406833589077
5,3,1,volatile,0.005249020643532276
1,3,2,volatile,0.006924123503267765
2,3,2,volatile,0.005910187028348446
3,3,2,volatile,0.021916987374424934
4,3,2,volatile,0.006403364706784487
5,3,2,volatile,0.010058755986392498
1,3,3,volatile,0.009993929415941238
2,3,3,volatile,0.012459423393011093
3,3,3,volatile,0.0062715159729123116
4,3,3,volatile,0.01563471183180809
5,3,3,volatile,0.041345346719026566
1,1,1,volatile,0.018145259469747543
2,1,1,volatile,0.003750050673261285
3,1,1,volatile,0.013762731105089188
4,1,1,volatile,0.01249923650175333
5,1,1,volatile,0.00969335064291954
6,1,1,volatile,0.006643413566052914
7,1,1,volatile,0.00830280315130949
8,1,1,volatile,0.007323691621422768
9,1,1,volatile,0.006194690242409706
10,1,1,volatile,0.007274364121258259
11,1,1,volatile,0.00749438488855958
12,1,1,volatile,0.017848338931798935
13,1,1,volatile,0.018445009365677834
14,1,1,volatile,0.007629356347024441
15,1,1,volatile,0.021963218227028847
16,1,1,volatile,0.008666950277984142
17,1,1,volatile,0.014230214059352875
18,1,1,volatile,0.016128918156027794
19,1,1,volatile,0.0071479822508990765
20,1,1,volatile,0.023391293361783028
1,1,2,volatile,0.017207104712724686
2,1,2,volatile,0.005434778984636068
3,1,2,volatile,0.02533646672964096
4,1,2,volatile,0.010260935872793198
5,1,2,volatile,0.030186640098690987
6,1,2,volatile,0.009221273474395275
7,1,2,volatile,0.010685884393751621
8,1,2,volatile,0.010339165106415749
9,1,2,volatile,0.014700942672789097
10,1,2,volatile,0.016802463680505753
11,1,2,volatile,0.008270876482129097
12,1,2,volatile,0.009824542328715324
13,1,2,volatile,0.004925894550979137
14,1,2,volatile,0.009267064742743969
15,1,2,volatile,0.016326142475008965
16,1,2,volatile,0.005268655717372894
17,1,2,volatile,0.022364739328622818
18,1,2,volatile,0.010452523827552795
19,1,2,volatile,0.014966419897973537
20,1,2,volatile,0.024930115789175034
1,1,1,volatile,0.005229348316788673
2,1,1,volatile,0.015996772795915604
3,1,1,volatile,0.018837105482816696
4,1,1,volatile,0.033450618386268616
5,1,1,volatile,0.032051026821136475
6,1,1,volatile,0.015039322897791862
7,1,1,volatile,0.006994627881795168
8,1,1,volatile,0.012266336940228939
9,1,1,volatile,0.018046695739030838
10,1,1,volatile,0.010398350656032562
11,1,1,volatile,0.013359613716602325
12,1,1,volatile,0.01767873577773571
13,1,1,volatile,0.01062681432813406
14,1,1,volatile,0.007300862576812506
15,1,1,volatile,0.006642499472945929
16,1,1,volatile,0.013953040353953838
17,1,1,volatile,0.011178421787917614
18,1,1,volatile,0.011796784587204456
19,1,1,volatile,0.008288257755339146
20,1,1,volatile,0.006456182803958654
1,1,1,volatile,0.00816864613443613
2,1,1,volatile,0.02910676784813404
3,1,1,volatile,0.01761596091091633
4,1,1,volatile,0.009550104849040508
5,1,1,volatile,0.005783486180007458
6,1,1,volatile,0.00934030581265688
7,1,1,volatile,0.00808827206492424
8,1,1,volatile,0.010560082271695137
9,1,1,volatile,0.020028354600071907
10,1,1,volatile,0.004340305924415588
11,1,1,volatile,0.00908253900706768
12,1,1,volatile,0.025049185380339622
13,1,1,volatile,0.004903113003820181
14,1,1,volatile,0.010337821207940578
15,1,1,volatile,0.011767633259296417
