run,ar_order,ma_order,volatility_type,loss
1,1,1,involatile,0.0014909603632986546
2,1,1,involatile,0.0055737909860908985
3,1,1,involatile,0.002241489477455616
4,1,1,involatile,0.0056093609891831875
5,1,1,involatile,0.0026645944453775883
6,1,1,involatile,0.0017322251806035638
7,1,1,involatile,0.0036487821489572525
8,1,1,involatile,0.005238736514002085
9,1,1,involatile,0.001368476776406169
10,1,1,involatile,0.0013086554827168584
11,1,1,involatile,0.00377442198805511
12,1,1,involatile,0.0015195459127426147
13,1,1,involatile,0.003584562335163355
14,1,1,involatile,0.0019911990966647863
15,1,1,involatile,0.005255417432636023
16,1,1,involatile,0.0017402666853740811
17,1,1,involatile,0.005234931129962206
18,1,1,involatile,0.004042922519147396
19,1,1,involatile,0.0009118659072555602
20,1,1,involatile,0.0020148742478340864
1,1,1,volatile,0.009940769523382187
2,1,1,volatile,0.011523404158651829
3,1,1,volatile,0.003387309843674302
4,1,1,volatile,0.024514215067029
5,1,1,volatile,0.008298222906887531
6,1,1,volatile,0.011666365899145603
7,1,1,volatile,0.010345222428441048
8,1,1,volatile,0.017094774171710014
9,1,1,volatile,0.005249232053756714
10,1,1,volatile,0.01316542737185955
11,1,1,volatile,0.016429593786597252
12,1,1,volatile,0.011776831932365894
13,1,1,volatile,0.010714228264987469
14,1,1,volatile,0.018409021198749542
15,1,1,volatile,0.008554561994969845
16,1,1,volatile,0.013656829483807087
17,1,1,volatile,0.016033947467803955
18,1,1,volatile,0.006477878428995609
19,1,1,volatile,0.006735329050570726
20,1,1,volatile,0.01616518758237362
1,1,1,inline,0.0010412787087261677
2,1,1,inline,0.0031393743120133877
3,1,1,inline,0.002382271457463503
4,1,1,inline,0.0026518648955971003
5,1,1,inline,0.0018783367704600096
6,1,1,inline,0.005695374216884375
7,1,1,inline,0.004857745487242937
8,1,1,inline,0.004187369719147682
9,1,1,inline,0.0011556550161913037
10,1,1,inline,0.009530844166874886
11,1,1,inline,0.0013376632705330849
12,1,1,inline,0.0022244302090257406
13,1,1,inline,0.0054962895810604095
14,1,1,inline,0.00489264028146863
15,1,1,inline,0.0034905741922557354
16,1,1,inline,0.0042932056821882725
17,1,1,inline,0.0022103129886090755
18,1,1,inline,0.0021640139166265726
19,1,1,inline,0.0030519021674990654
20,1,1,inline,0.0017302214400842786
1,1,2,involatile,0.001145184156484902
